EventID,StartDateTime_dt,Precinct
300134,2016-07-18 06:00:00,20
299797,2016-07-18 07:00:00,108
300179,2016-07-18 07:00:00,108
300179,2016-07-18 07:00:00,94
300630,2016-07-18 12:00:00,100
300127,2016-07-18 06:00:00,10
43547,2012-01-10 07:00:00,108
43547,2012-01-10 07:00:00,94
300435,2016-07-18 07:00:00,94
300417,2016-07-18 06:00:00,108
300441,2016-07-18 09:30:00,70
297653,2016-07-18 06:30:00,90
300432,2016-07-17 16:00:00,73
299740,2016-07-18 08:00:00,90
299639,2016-07-18 06:00:00,76
300687,2016-07-18 06:00:00,14
299892,2016-07-18 06:00:00,1
300423,2016-07-18 07:00:00,114
299910,2016-07-18 09:00:00,9
300242,2016-07-18 09:00:00,19
300242,2016-07-18 09:00:00,22
300242,2016-07-18 09:00:00,24
300597,2016-07-18 07:00:00,108
300413,2016-07-18 07:00:00,94
300224,2016-07-18 07:00:00,108
300398,2016-07-18 06:00:00,23
300398,2016-07-18 06:00:00,25
300398,2016-07-18 06:00:00,28
300209,2016-07-18 10:00:00,6
300390,2016-07-18 01:00:00,10
300390,2016-07-18 01:00:00,18
300068,2016-07-18 09:00:00,94
300200,2016-07-18 06:00:00,6
300193,2016-07-18 08:00:00,9
300476,2016-07-18 09:00:00,108
300476,2016-07-18 09:00:00,94
300425,2016-07-18 06:00:00,70
301075,2016-07-19 07:00:00,114
300731,2016-07-19 09:30:00,19
300791,2016-07-19 03:00:00,108
300791,2016-07-19 03:00:00,94
300290,2016-07-19 06:00:00,94
300525,2016-07-19 06:00:00,1
300462,2016-07-19 07:00:00,94
300384,2016-07-19 07:00:00,108
300809,2016-07-19 07:00:00,18
300738,2016-07-19 07:00:00,94
300513,2016-07-19 06:00:00,108
300513,2016-07-19 06:00:00,114
301081,2016-07-19 06:00:00,70
300706,2016-07-19 10:30:00,13
300706,2016-07-19 10:30:00,14
300092,2016-07-18 13:00:00,88
300092,2016-07-18 13:00:00,90
300679,2016-07-19 07:00:00,108
300648,2016-07-19 06:00:00,84
300560,2016-07-19 08:00:00,100
300560,2016-07-19 08:00:00,101
300560,2016-07-19 08:00:00,69
300304,2016-07-19 06:00:00,1
299724,2016-07-18 18:00:00,18
300974,2016-07-19 06:00:00,6
300715,2016-07-19 07:00:00,114
300813,2016-07-19 07:00:00,94
300349,2016-07-19 07:00:00,104
300349,2016-07-19 07:00:00,114
300447,2016-07-18 14:00:00,1
300545,2016-07-19 04:00:00,84
300538,2016-07-19 06:00:00,14
300538,2016-07-19 06:00:00,90
299728,2016-07-19 06:00:00,9
300745,2016-07-19 08:00:00,84
300736,2016-07-20 07:00:00,94
301020,2016-07-20 11:00:00,10
301020,2016-07-20 11:00:00,13
301020,2016-07-20 11:00:00,14
300659,2016-07-20 08:30:00,108
300852,2016-07-20 06:00:00,1
300760,2016-07-20 08:00:00,68
300760,2016-07-20 08:00:00,88
300634,2016-07-20 06:00:00,73
301089,2016-07-20 06:00:00,90
299758,2016-07-20 08:00:00,13
300350,2016-07-20 07:00:00,24
301139,2016-07-20 06:00:00,108
301051,2016-07-19 13:00:00,94
301074,2016-07-19 18:00:00,18
300305,2016-07-20 06:00:00,1
43675,2012-01-09 07:00:00,5
43675,2012-01-09 07:00:00,7
299690,2016-07-19 21:00:00,78
301009,2016-07-20 07:00:00,108
301009,2016-07-20 07:00:00,94
300060,2016-07-19 23:00:00,17
300060,2016-07-19 23:00:00,94
300456,2016-07-20 07:00:00,70
300713,2016-07-20 10:00:00,94
301086,2016-07-20 00:00:00,10
301086,2016-07-20 00:00:00,108
301086,2016-07-20 00:00:00,114
301086,2016-07-20 00:00:00,13
301086,2016-07-20 00:00:00,14
301086,2016-07-20 00:00:00,17
301086,2016-07-20 00:00:00,18
301086,2016-07-20 00:00:00,19
